ID,LastName,FirstName,JobCode,BasePay,Utilization,Evaluation/Sales,Bonus
101,Anders,Maria,C,139071.0,0.0505,0,0
102,Trujillo,Ana,C,103738.0,0.1365,0,0
103,Moreno,Antonio,C,156932.0,0.144,0,0
104,Hardy,Thomas,D,337573.0,0.7325,0,0
105,Berglund,Christina,C,85728.0,0.386,0,0
106,Moos,Hanna,C,133580.0,0.0515,0,0
107,Lebihan,Laurence,C,130599.0,0.8565,0,0
108,Lincoln,Elizabeth,C,88617.0,0.2955,0,0
109,Ashworth,Victoria,C,109454.0,0.3995,0,0
110,Simpson,Patricio,C,158427.0,0.346,0,0
112,Wang,Yang,D,333585.0,0.802,0,0
113,Afonso,Pedro,C,91293.0,0.1395,0,0
114,Brown,Elizabeth,D,338859.0,0.142,0,0
115,Ottlieb,Sven,D,321235.0,0.221,0,0
116,Labrune,Janine,C,188031.0,0.2815,0,0
117,Devon,Ann,C,62411.0,0.3705,0,0
118,Mendel,Roland,C,68455.0,1.0,0,0
119,Cruz,Aria,D,494200.0,0.169,0,0
120,Roel,Diego,C,140957.0,1.0,0,0
121,Rancher,Martine,C,152914.0,0.125,0,0
122,Larsson,Maria,C,132789.0,0.113,0,0
123,Franken,Peter,D,480080.0,0.2705,0,0
124,Schmitt,Carine,D,489792.0,0.191,0,0
125,Accorti,Paolo,C,189422.0,0.1435,0,0
126,Rodriguez,Lino,C,195081.0,0.102,0,0
127,Saavedra,Eduardo,C,96432.0,0.3285,0,0
128,Fonseca,Andrew,C,176787.0,0.115,0,0
129,Snyder,Howard,C,85477.0,0.2065,0,0
130,Pereira,Manuel,C,134186.0,1.0,0,0
131,Pontes,Mario,C,76276.0,0.1895,0,0
132,Latimer,Yoshi,C,138630.0,0.372,0,0
133,McKenna,Patricia,C,193764.0,0.214,0,0
134,Bennett,Helen,D,349284.0,0.0755,0,0
135,Cramer,Philip,C,64018.0,0.142,0,0
136,Tonini,Daniel,C,133797.0,0.244,0,0
137,Roulet,Annette,C,130000.0,0.1385,0,0
138,Tannamuri,Yoshi,D,495232.0,1.0,0,0
139,Steel,John,D,392945.0,0.5465,0,0
140,Messner,Renate,C,164540.0,0.2805,0,0
141,Yorres,Jaime,C,107449.0,0.114,0,0
142,Izquierdo,Felipe,C,121957.0,0.2505,0,0
143,Wilson,Fran,C,136493.0,0.292,0,0
144,Rovelli,Giovanni,C,87554.0,0.5065,0,0
145,Dewey,Catherine,C,198090.0,0.228,0,0
146,Feuer,Alexander,C,169024.0,1.0,0,0
147,Crowther,Simon,D,335916.0,0.1555,0,0
148,Moncada,Yvonne,D,458934.0,0.2085,0,0
149,Phillips,Rene,C,159590.0,0.2145,0,0
150,Pfalzheim,Henriette,C,152835.0,0.2205,0,0
151,Bertrand,Marie,C,69350.0,0.3295,0,0
152,Fred,Guillermo,C,60219.0,0.1915,0,0
153,Pipps,Georg,C,180828.0,0.182,0,0
155,Kloss,Horst,C,51344.0,0.5845,0,0
156,Wilson,Paula,C,112392.0,0.1725,0,0
157,Moroni,Maurizio,C,116389.0,0.1795,0,0
158,Limeira,Janete,C,155320.0,0.294,0,0
159,Holz,Michael,C,132125.0,0.106,0,0
160,Camino,Alejandra,C,60886.0,0.0555,0,0
161,Bergulfsen,Jonas,C,163529.0,0.1215,0,0
